
400820,sub_400820,Todo,"""Function to Push and Jump to Addresses"""
400970,deregister_tm_clones,Todo,"""Compare and Jump Function"""
4009F0,__do_global_dtors_aux,Todo,"""Check and call function"""
400A10,frame_dummy,Todo,"""Memory allocation function"""
400A36,init_string_with_size,Todo,"""Memory Allocation Function"" or ""Dynamic Memory Allocation"""
400A74,init_string,Todo,Function with Stack Allocation
400A94,find,Todo,"""Stack Frame Comparison"""
400B0B,write_buffer,Todo,"""Stack allocation and file output"""
400B5E,delete_string,Todo,Function: Free Memory.
400B7C,addr,Todo,"""Addition function"""
400B96,at,Todo,"""Function to Compare Two Values"""
400BCA,catchar,Todo,Function Name: dynamic_array_resize
400C4C,overwrite_string,Todo,Free Memory Function
400C9C,catbuf,Todo,"""Function to Reallocate and Copy Memory"""
400D5C,cattext,Todo,Function prologue.
400D90,catstr,Todo,"""Function with parameter and subroutine call"""
400DC3,skip_white_and_stars,Todo,"""Function for checking input validity"""
400E5F,skip_past_newline_1,Todo,"""Function with Local Variables"""
400EC0,.strlen,Todo,Function to Print Error Message and Exit
400EF3,check_range,Todo,"""Check and Call Function"""
400F2E,icheck_range,Todo,Check for and call subroutines based on memory values.
400F69,exec,Todo,"""Function with stack and call"""
400FA9,call,Todo,"""Function with local variable initialization"""
400FE9,remchar,Todo,"""Stack Frame Setup and Variable Modification"""
401025,strip_trailing_newlines,Todo,"""Function Prologue"""
4010D3,push_number,Todo,"""Memory Manipulation Function"""
40112E,push_text,Todo,"""Function with stack manipulation"""
4011A0,.getenv,Todo,"""String parsing"" or ""Input validation"""
40135F,print_stack_level,Todo,Function Initialization.
4013F3,paramstuff,Todo,Function Prologue
40146B,translatecomments,Todo,"""Function Prologue"" or ""Stack Setup"""
4015B2,outputdots,Todo,Function Prologue
401747,courierize,Todo,"""Function Prologue"""
401B32,bulletize,Todo,Function prologue.
401D7F,do_fancy_stuff,Todo,Function Prologue.
401F4C,iscommand,Todo,Function for checking input
402022,copy_past_newline,Todo,"""Function with Local Variables"""
4020F7,icopy_past_newline,Todo,Function prologue.
40215F,kill_bogus_lines,Todo,Function prologue or stack setup.
4023ED,indent,Todo,Function Entry Setup
4025A6,get_stuff_in_command,Todo,"""Function prologue"" or ""Function setup"""
402649,swap,Todo,"""Memory Copy and Address Update"""
4026C7,rsync_roll,Todo,"""Stack Manipulation and Function Calls"""
402728,drop,Todo,Function prologue/entry.
40275D,idrop,Todo,Stack cleanup function.
402792,icatstr,Todo,Function to Modify Memory Address.
4027F7,skip_past_newline,Todo,"""Function initialization"" or ""Stack frame setup"""
402832,internalmode,Todo,"""Copy and Modify Stack Variable"""
402877,maybecatstr,Todo,"""Function for Comparing and Manipulating Memory"""
4028E8,nextword,Todo,Function Prologue
402B00,.strncpy,Todo,Stack Frame Initialization and Comparison
402B7A,perform,Todo,"""Function setup"""
402C83,newentry,Todo,"""Memory Allocation Function"""
402CF3,add_to_definition,Todo,Memory reallocation function.
402D87,add_intrinsic,Todo,Function Initialization
402DCE,add_var,Todo,Function Setup.
402E29,compile,Todo,"""Function Prologue"""
403057,bang,Todo,"""Move and Update Pointer Function"""
4030A7,atsign,Todo,"""Copy Pointer and Increment"""
4030D7,hello,Todo,"""Print and Increment Counter"""
4030FA,stdout_,Todo,"""Memory Allocation and Initialization"""
40313D,stderr_,Todo,"""Memory Allocation and Initialization"""
403180,.memrchr,Todo,"""Function with Output Handling"""
40324A,read_in,Todo,File Input Function.
4032FF,usage,Todo,"""Write to stderr and Exit"" or ""Log and Exit"""
40332B,chew_exit,Todo,"""Exit function with stack setup."""
401F70,.free,Todo,"""Jump to Memory Location"""
4026F0,deregister_tm_clones,Todo,"""Check and Jump Function"""
402770,__do_global_dtors_aux,Todo,Set flag and call sub.
402790,frame_dummy,Todo,"""Memory Operation and Function Call"""
4027B6,severity,Todo,Function Setup or Comparison Check
40280F,vdiag,Todo,Function with error logging and stack preparation.
402A42,diag,Todo,Set up function frame.
402B11,debugprt,Todo,Function Prologue.
402BDE,emalloc,Todo,Allocate Memory and Exit Function
402C2D,ecalloc,Todo,Function Name: allocate_mem
402C7F,erealloc,Todo,Function to allocate and initialize memory.
402CD9,estrdup,Todo,Function for String Copy and Length Calculation.
402D34,mkfilename,Todo,Function Name: setPath
402E37,trans_strtotok,Todo,"""Function with Local Variables"""
402E93,trans_toktostr,Todo,Function name: var_compare_or_increment
402ECD,trans_toknext,Todo,Function with variable initialization and comparison.
402F57,trans_tokfirst,Todo,Function for Initializing Variables
402F8B,set_program_name,Todo,"""Push and String Manipulation"""
402FD2,signal_setup,Todo,Function with memory allocation and call
402FFC,storepid,Todo,open file function or fopen function.
403090,.__fxstat,Todo,Function with Local Variables and Loop Counter Initialization.
4030E0,.fchdir,Todo,Initiate User Data Retrieval Function.
403277,setuser,Todo,set user and group ID function
403413,ev_log,Todo,Function Prologue
4034B1,genev_init,Todo,"""Function Entry/Initialization"""
403518,sigmain,Todo,"""Set Variable and Check Value"""
403548,self_test,Todo,Function with Fork & Execv
403655,print_dir,Todo,"""Function Initialize Variables and Print"""
403691,help_hook,Todo,Print Stream Function
403766,parse_options,Todo,"""arg parsing function"""
403D47,get_facility,Todo,Function: ____________
403E05,get_priority,Todo,Function name: parse_input_numbers.
403EC3,assert_grecs_value_type,Todo,Function Prologue
403F97,cb_syslog_facility,Todo,Stack setup function.
4040AA,envfree,Todo,Function name: free_multiple_ptrs.
404116,eventconf_init,Todo,Function that sets memory to 0.
40413B,eventconf_free,Todo,Free allocated memory and return.
40418D,eventconf_flush,Todo,Function prologue
404365,cb_watcher,Todo,Function name: var_check_and_update
404485,pathent_alloc,Todo,Function with string parameter and return value.
4044ED,cb_path,Todo,Function Prologue.
4047CE,cb_eventlist,Todo,Function name: Initialize Stack Frame.
404ADA,membergid_0,Todo,"""Variable Initialization and Comparison"""
404B2A,get_user_groups_0,Todo,"""Function with stack variables"""
404C71,cb_user,Todo,"""Function Setup"""
404F61,cb_option,Todo,"Function Name: ""various possibilities depending on the purpose and context of the code"""
405153,cb_environ,Todo,Initial Function Setup
40540C,file_name_pattern,Todo,"""Function Initialization"""
405715,cb_file_pattern,Todo,Function Name: Unknown
405879,config_help,Todo,Function Prologue and Epilogue
4058B7,config_init,Todo,"""Function with Memory Initialization"""
4058D7,config_parse,Todo,Function Prologue.
405926,find_env,Todo,"""Function Name"""
405A36,locate_unset,Todo,"""String Comparison"""
405B9A,env_concat,Todo,"""Copy string with format specifier"""
405D7B,environ_setup,Todo,Function prologue or function setup.
4064E8,hash_string,Todo,Assembly function with variable manipulation.
40652E,symevt_hash,Todo,Function entry or Function prologue
40655F,symevt_cmp,Todo,Function: string comparison.
40659C,symevt_copy,Todo,Function setup or variable initialization.
4065E8,symevt_free,Todo,Function Prologue with Freeing Memory
40661B,defevt,Todo,Function Prologue
406710,getevt,Todo,Function Setup or Initial Setup Function.
4067C8,evtnullp,Todo,"""Variable Initialization and Check"""
4067F3,event_mask_init,Todo,"""Variable Assignment and Comparison"""
406894,evtsetall,Todo,"""Function to set variable to 0"""
406908,filename_pattern_free,Todo,"""Stack Setup and Memory Management"""
40695E,filename_pattern_match,Todo,Function for matching file name pattern.
406A37,hashent_free,Todo,Function Entry / Memory Allocation
406A76,hashent_alloc,Todo,Function Prologue
406B31,hashtab_insert_pos,Todo,"""Function with Push and Memory Operations"""
406BBE,hashtab_replace,Todo,Function Name: Recursive Function to Allocate Memory and Assign Values
406CA3,hashtab_rehash,Todo,Function Setup/Initialization.
406DB2,hashtab_strerror,Todo,Function with error handling.
406DFF,hashtab_remove,Todo,"""Function with stack allocation"""
406FCB,hashtab_get_index,Todo,Function with Variable Initialization
407141,hashtab_lookup_or_install,Todo,Function with memory allocation and error handling.
407229,hashtab_clear,Todo,"""Function Setup"""
4072C6,hashtab_create,Todo,Function Prologue.
4073AE,hashtab_free,Todo,Function for freeing memory.
4073EC,hashtab_count_entries,Todo,"""Function setup and loop"""
407443,hashtab_foreach,Todo,Function with Local Variables
4074D0,hashtab_count,Todo,Push-RBP-Init-Loop-Exit Function
407535,dirwatcher_unref,Todo,"""Memory Allocation and Freeing Function"""
40757B,dwname_hash,Todo,Function Setup or Memory Initialization.
4075B0,inflate_codes,Todo,"""Function with variable comparisons"""
4075F5,dwname_copy,Todo,Function prologue with parameter initialization.
407632,dwref_free,Todo,Function prologue
407665,dirwatcher_install,Todo,"""Function Setup"""
4077AC,dirwatcher_lookup,Todo,"""Function Prologue"" or ""Stack Setup"""
407836,dirwatcher_remove,Todo,Function Prologue.
40789C,dw_hash,Todo,Function Prologue.
4078CB,dw_cmp,Todo,"""Memory Compare"""
407907,dw_copy,Todo,"""Variable Assignment and Increment"""
407953,dirwatcher_register,Todo,Function Prologue.
407A5F,dirwatcher_lookup_wd,Todo,Function Prologue.
407AE6,dirwatcher_remove_wd,Todo,Function Prologue.
407B49,dirwatcher_init,Todo,"""Function name: Push and Initialization"""
