PredCode,package,Original,Predicted,Thrown
[-],ftp*loop*internal@wget@wget,ftp*loop*internal,coalesce*segment,['BLANK']
[-],ftp*parse*winnt*ls@wget@wget,ftp*parse*winnt*ls,create*fields,['BLANK']
[-],number*to*string@wget@wget,number*to*string,,['UNK'; 'BLANK']
[-],reencode*escapes@wget@wget,reencode*escapes,process*map,['BLANK']
[-],append*url@wget@wget,append*url,record*to*directive,['BLANK']
[-],uri*merge@wget@wget,uri*merge,find*name,['BLANK']
[-],gethttp@wget@wget,gethttp,prt*ini*list,['BLANK']
[-],url*string@wget@wget,url*string,panel,['UNK'; 'BLANK']
[-],ftp*retrieve*glob@wget@wget,ftp*retrieve*glob,edit*execute*to*init,['BLANK']
[±],write*backup*file@wget@wget,write*backup*file,file*open,['BLANK'; 'UNK'; 'BLANK']
[-],free*netrc@wget@wget,free*netrc,hol*cluster*cmp,['BLANK'; 'BLANK']
[-],get*urls*html@wget@wget,get*urls*html,print*context,['BLANK'; 'BLANK'; 'BLANK']
[-],cookie*matches*url@wget@wget,cookie*matches*url,tunnel*inode,['BLANK'; 'BLANK'; 'BLANK']
[-],ftp*type@wget@wget,ftp*type,mf*manyistr,['BLANK'; 'BLANK'; 'BLANK']
[-],ftp*cwd@wget@wget,ftp*cwd,get,['UNK'; 'BLANK'; 'setup'; 'BLANK']
[-],maybe*add*to*list@wget@wget,maybe*add*to*list,uuconf*free*block,['BLANK'; 'display']
[-],ftp*list@wget@wget,ftp*list,get*arg*char,['BLANK'; 'BLANK']
[-],discard*matching*cookie@wget@wget,discard*matching*cookie,filter*open,['BLANK'; 'BLANK'; 'BLANK']
[-],run*wgetrc@wget@wget,run*wgetrc,close*stdout,['BLANK'; 'BLANK'; 'BLANK']
[-],hash*table*remove@wget@wget,hash*table*remove,transit*state,['BLANK'; 'BLANK'; 'sensor']
[-],create*image@wget@wget,create*image,grecs*isalpha,['BLANK'; 'BLANK'; 'BLANK']
[-],tag*handle*base@wget@wget,tag*handle*base,get*lan*section*member,['BLANK']
[-],ftp*login@wget@wget,ftp*login,get,['UNK'; 'hdy'; 'BLANK'; 'BLANK']
[-],eliminate*dups@wget@wget,eliminate*dups,mmalloca,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],bar*set*params@wget@wget,bar*set*params,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],saved*append*1@wget@wget,saved*append*1,name*of*hash*2,['BLANK']
[-],cmd*directory*vector@wget@wget,cmd*directory*vector,adns*qdpl*tcp,['BLANK'; 'BLANK']
[-],bar*update@wget@wget,bar*update,print,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],ftp*rest@wget@wget,ftp*rest,print*pacct*record,['BLANK'; 'BLANK']
[-],ftp*pwd@wget@wget,ftp*pwd,get*fs*usage,['BLANK'; 'BLANK']
[-],append*string@wget@wget,append*string,ecc*number,['BLANK'; 'BLANK'; 'BLANK']
[-],merge*vecs@wget@wget,merge*vecs,info*free,['UNK'; 'BLANK'; 'BLANK']
[-],sync*path@wget@wget,sync*path,mk*expand,['BLANK'; 'BLANK'; 'BLANK']
[-],logprintf@wget@wget,logprintf,mail*error,['BLANK'; 'BLANK'; 'BLANK']
[-],slist*append@wget@wget,slist*append,glist*new*iter,['BLANK'; 'BLANK']
[-],dot*set*params@wget@wget,dot*set*params,,['UNK'; 'BLANK'; 'set'; 'BLANK'; 'func']
[-],store*cookie@wget@wget,store*cookie,ping*set*dest,['BLANK'; 'BLANK']
[-],match*except*index@wget@wget,match*except*index,last*component,['BLANK'; 'pair'; 'BLANK']
[-],cookie*jar*save@wget@wget,cookie*jar*save,temp*stream,['BLANK'; 'import'; 'BLANK']
[-],find*fragment@wget@wget,find*fragment,argcv*strncasecmp,['BLANK'; 'BLANK'; 'BLANK']
