PredCode,package,Original,Predicted,Thrown
[-],4224376@gawk@gawk,4224376,value*info,['BLANK']
[-],4260290@gawk@gawk,4260290,mk*program,['BLANK']
[-],4320271@gawk@gawk,4320271,do*printf,['BLANK']
[-],4327226@gawk@gawk,4327226,do*printf,['BLANK']
[-],4291608@gawk@gawk,4291608,mk*assignment,['BLANK']
[-],4262671@gawk@gawk,4262671,dump,['BLANK']
[-],4299621@gawk@gawk,4299621,do,['UNK'; 'BLANK']
[-],4292142@gawk@gawk,4292142,check*assignment,['BLANK']
[-],4229450@gawk@gawk,4229450,sort*user*user,['BLANK']
[-],4219053@gawk@gawk,4219053,,['UNK'; 'BLANK'; 'BLANK'; 'cmd'; 'BLANK']
[-],4269297@gawk@gawk,4269297,,['UNK'; 'BLANK'; 'display'; 'BLANK'; 'BLANK']
[-],4296983@gawk@gawk,4296983,is*alnum,['BLANK'; 'UNK'; 'BLANK']
[-],4258001@gawk@gawk,4258001,add*sign*to*num,['BLANK']
[-],4298576@gawk@gawk,4298576,lbitset*andn*or*cmp,['BLANK']
[-],4296941@gawk@gawk,4296941,c*isalpha,['BLANK'; 'BLANK'; 'BLANK']
[-],4299521@gawk@gawk,4299521,uuconf*taylor*validate,['BLANK']
[-],4219120@gawk@gawk,4219120,force*number,['BLANK'; 'BLANK']
[-],4219263@gawk@gawk,4219263,,['UNK'; 'real'; 'BLANK'; 'BLANK']
[-],4218948@gawk@gawk,4218948,force*value,['BLANK'; 'BLANK']
[-],4219470@gawk@gawk,4219470,,['UNK'; 'tty'; 'BLANK'; 'BLANK']
[-],4218626@gawk@gawk,4218626,print,['UNK'; 'com'; 'BLANK']
[-],4287698@gawk@gawk,4287698,mk,['UNK'; 'BLANK'; 'BLANK']
[-],4218566@gawk@gawk,4218566,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4218882@gawk@gawk,4218882,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4294893@gawk@gawk,4294893,mk*expression*list,['BLANK']
[-],4321207@gawk@gawk,4321207,do*sqrt,['BLANK'; 'BLANK']
[-],4295269@gawk@gawk,4295269,prt*type,['BLANK'; 'BLANK']
[-],4220466@gawk@gawk,4220466,fconn*io,['BLANK'; 'BLANK']
